trip_id,road_segments
17,"6815,6815,6329,6329,156084,156088,6330,6878,6717,99292,99299,1382,125631,135,136,125638,125638,116576,116576,125639,25244,141,141,141,141,146,147,1093,22368,148,670,149,149,137904,137874,137891,137876,27786,27786,27786,27786,27786,27786,27786,27786,27786,27786,27786,27786,27786,27786,27786,27786,27786,27786,27304,27304,27304,27304,27304,27304,27304,28098,27306,137885"
18,"170709,108779,173895,153318,143445,97161,153317,99086,6802,6802,161172,101637,153223,168324,108683,108683,108683,108683,108683"
19,"7324,156299,153194,153194,156283,156297,1495,159472,51471,5175,5175,51504,184179,51472,5149,6349,6349"
20,"154006,106555,7320,108486,108486,57497,57497,57497,57500"
21,"100,100,10285,10290,10299,183393,25719,100135,100138,108883,1367,7611,155729,155730,10414"
22,"12570,12580,12431,12421,7770,146907,12599,7781,151973,754,762,767,7708,130392,130395,130404,35263,780,783,783,84419,84371,84371,84371,84371,4936,84431,175,116547,116547,8448,788,788,788,8844,792,4201,796,796,796,796,796,796"
23,"105554,105554,682,682,107447,108976,132762,132762,107445,684,1328,1328,136566,136566,136566,136566,136566,157116,157266,1524,1524,1524,1532,154957,1438,1438,108529,108529,1440,1440,191971,115,104,109,129"
24,"110452,110452,110452,110452,5254,5254,5129,159380,8887,5123,102170,5053,51468,5132,51067,134317,79748,134308,134308,134308"
25,"12433,12433,12578,170705,12589,101625,21601,153317,153317,153317,153317,153317,6802,161175,7792,159465,51538,51538,57487,100333,100333,11907,11908,11908,11908,11908"
26,"107432,107432,107429,107429,107429,107429,107429,107429"
27,"661,4141,4141,153928,185645,657,116860,106097,5101,5104,106549,106549,106552,1340,27925,1080,148,148,670,149,149,78706,137883,137883,137883,137883,19604,19604,19604,19604,2070,2066,2066,2066,2066,2066,158,146648,157171,146813,28236,30891,45236,45350,45688,45333,45515,45708,45708,67063,45096,45004,45169,44985,44985,44912,44912"
28,"36631,191088,191122,116786,37860,37864,6227,6227,1099,190142,1102,1105,127396,1108,10430,10453,10442,1137,1137,159378,1298,1297,10302,10291,89,122453,122453,122453,122453"
29,"67,72,25719,10590,60838,10403,34175,1478,1138,1008,1008,122708,168373,155997,10518,10518,10518,10504"
30,"122454,190563,4151,43,54757,79,79,79,79,79,79"
31,"1008,1008,1008,122706,117105,7350,6399,6408,6408,6391,6858,5210,5213,159380,8887,8887,8887,5122"
32,"8474,8474,796,796,134382,154048,175439,7249,6836,6827,6827,6827,6827,6827,1198,1205,194265,33182,33182,33182,154094,1300,1300,117104,1006,1006,1006,1141,159378,1297,10302,89,122454,4151,54757,54757,54757,54757,54757,54757,79,79,79,79,79"
33,"122453,122453,25257,22131,34,121881,121881,71,71,71,71,25719,159250,159370,1474,1484,162526,6397,1502,159373,194151,6840,4204,147686,8558,158526,130574,105080,8837,119435,119435,119435,119435,119435,119435,119435,119435,119435"
34,"99929,110373,110375,27776,110376,110371,27762,27670,96807,159414,159414,159414,159414,112451,19090,96799,166827,27961,27961,27961,27961,96775,193126,28452,28502,28495,27271,28938,28927,28927,156733,156724,27753,28050,28050,28050"
35,"122453,122453,22131,34,121879,121881,71,72,100134,10590,1154,34175,1478,1138,1009,1012,6507"
36,"36632,36632,36632,36632,39176,5711,78716,78716,78716,10688,10690,10693,1351,1349,1349,1349,149,149,78706,137883,137883,137883,19604,19604,1943,2066,2066,2066,2066,162,163,45220,25790,25792,25792,25791,90540,1960,44381,44318,44306"
37,"93060,93060,131704,131704,153953,5078,5074,131673,131673,8471,152649,6452,34140,10482,10485,1013,1013,1013,1013,1013,1014,6505,6505,6505,6505,6505"
38,"1294,134152,141731,141731,141731,1533,110379,107216,91,107219,122574,121,122,12951,6515,6515,6515,10187"
39,"1294,49,134152,134152,134152,107212,125625,125625,125625,125623,157116,1524,1532,154957,1437,107456,107456,107456,107456,107456"
40,"693,163837,698,690,690,641,641,36626,39190,39190,39190,39180,39185,105438,152246,175413,39216,39211,638,638,190264,156545,156545,156545,156545,156545,156545,156545,156545,156545,156545,156545,156545,156545,156545,156545,156545,156545,156545,39208,155435,155435,176390,39197,1073,1084,1343,5824,5824,5824,5824,5826,5827,102138,1340,1079,1075,148,670,149,149,78707,27743,27427,137916,28101,28101,28101,28101,28101"
41,"641,641,36626,36626,39190,39190,39190,39180,39180,105438,105438,175413,175413,40101,39208,39215,191261,175416,190830,634,159263,159263,39177,39177,39186,39186,39186"
42,"121054,121054,121054,121054,121054,121054,121054,121054,121054,121054,121054,112760,78944,78944,78944,78944,112760,78976,902,902,902,91178,91178,91178,91178,91178,91178,91178,91178,99929,682,107445,684,110427,687,687,687,687,687,687,687"
43,"189193,189195,595,156129,7487,1103,1103,1103,1103,1103,1103,1103,34145,980,982,37899,108491,772,110120,153328,153328,153328,133431,13223,156254,13231,24175,24175,24175"
44,"190857,190855,99059,99059,190858,99055,191112,190859,190862,190862,190830,190830,159263,102161,636,102158,33019,153302,892,892,892,25672,10538,10539,67,67,69,69,73,25714,25718,10282,125627,25717,25717"
45,"105554,682,107447,132764,4161,108977,684,1328,136566,136566,136566,183952,107218,141731,141731,110379,91,103154,127,25712,25712,183392,105993,1474,162527,7350,1502,159372,110395,193260,116577,1187,25674,141,141,141,143,769,156199,156199,737,726,726,133450,133437,136477,136541,136541,4082,908,101006,101004,147248,147245"
46,"108683,21369,21369,21369,108705,730,730,163854,159130,159130,21613,97845,11824,155955,1817,105487,1376,3999,4057,4074,140516,140516,140516,140516,140516,140516,140516,140516,140516,140516,140516,140516,140516,140516,140516,140516,140516,140516,140513,4075,4075,4075,4075,39612,39636,39641,39641,39641,39641,4072,4072,39630,132849,132849,132849,132849,132849,132849,132849,132849,131565,39642,39642,102328,4972,4972,100333,100333,39538,11907,39622,39648,39648,11882,105627,155692,147459,103148,103148,147460,3997,161163,4006,4000,4053,271,190743,190743,190743,184947,184947,159142,159142,159143,100369,4127,1049,39608,39608,39647,4121,3728,100370,100370,184949,274,4053,4053,4040,4040,39644,39639,39635,39635,39630,132849,132849,131565,131565,39642,39642,102328,4972,11803,57495,1054,161128,161128,161128,161128,7322,718,159466,51553,743,156229,106273,106273,6749,12598,146906,12420,12663,6747,183396"
47,"151999,12466,12464,7751,7751,34277,39191,39179,39193,190271,155191,5804,99944,185478,5798,5788,5767,5634,159484,11185,11185,5707,5710,5710,608,1028,1031,5835,5661,646,5659,5659,5629,5629,5619,153305,36625,689,689,689,689,693,163836,696,704,704,163542,106052,5406,161024,25603,36547,5421,102514,99090,99090,2345,2345,2344,106203,176702,5556,25574,25575,5537,5537,5537"
48,"122453,22131,33,54752,54752,54752,54752,97954,6512,82,82,82,81,81,81,34,121881,121881,72,25719,159250,159370,1296,1296,1296,1474,1484,140424,6398,6408,6391,6858,5211,5211,22307,22307,22307,22307,22307,22307,22307,22307,6858,6858,6858,6858,5254,5257,5257,5254,5254,5254,5254,1002,1002,1002,159249,159249,6402"
49,"133196,892,25672,25672,5116,1466,67,67,69,69,155992,10293"
50,"122453,25257,22131,34,121879,121881,121881,72,72,72,159250,10590,10588,34175,1478,1008,1008,122708,168373,7351,1176,1184,1169,1166,1161,175319,115959,115959"
51,"641,641,645,5620,5628,5628,5658,5658,647,5836,1033,1033,1036,190589,22656,190582,10935,153924,651,651,649,185645,10891,10891,10891"
52,"155994,69,69,25719,100135,100136,100138,100138,108883,108883,108883,1367,10356,59391,1509,1509,600,106050,733,153302,1353,1357,125615,100123,159430,10695,10695,10691,5715,10687,1267,1267"
53,"892,892,892,25672,25672,25672,25672,6207,5116,1466,60834,60834,159251,159251,66,66,112599,112599,6501,81,34,34,34,34"
54,"28152,28152,150,150871,150871,156011,37890,37890,144,144,25681,25681,25686,139,139,125636,194262,138,125634,6781,133,18,6773,6720,6716"
55,"5999,5999,1362,100123,100123,6229,10695,10695,10695,5715,5717,1267,10728,10728,10728,10732,10732,10732,10732,5109,10730,10730,102138,1340,1081,1081,1082,1082,39215,191260,191260,735,175433,129947,129947,13224,13224,13224,133430"
56,"1294,1294,108834,177914,177914,45,102,102,102,102,100,10285,105993,4076,1475,1309,1310,1310,6515,1131,1132,156301,5296,1496,51479,51479,5233,51471,51467,51467,5198,157037,6335,6785,6778,6772,6808,6808,6808,6808,6808"
57,"5254,5254,5258,5211,5211,5211,5211,5211,159380,78731,5123,6046,163876,5047,5118,5120,2347,99445,98617,8938,8932,8932,97230,8984,9094,9091,2358,134128,7641,134439,7649,110450,110450,110450,134199"
58,"133196,893,189194,189194,34170,155730,1506,10532,1110,1014,1014,1014,1014,1014,1014,1014"
59,"132762,108977,107445,110426,110427,1322,10604,10606,10606,108411,108456,105995,1513,1513,1515,1515,105994,97946,1294,107218,141731,141731,10598,110379,107216,107219,107219,122572,122572,1232,1232,103154,127,25712,183392,183392,10294,10296,10296,10296,10296,10296,10296,10296,10287,10287,10287,10287,10287,10287"
60,"99086,6802,161172,101637,153223,21443,108683,108683,108683,108683,108683,108683,21376,21369,21445,21477,108718,708,161174,106703,99085,21366,97152,184216,108779,173895,173895,173895"
61,"1294,49,39,4144,102513,100094,7365,1288,1280,1271,1278,60345,10695,10691,5717,5724,10730,102136,1252,1254,7430,5865,7490,1259,7570,7585,5997,11170,153280,5767,5634,5710,5641,11207,5670,5837,5837,25568,12648,25597"
62,"51538,131577,100333,39538,131548,97841,39642,39642,39642,39642,39642,39642,39642,39642,39642,39642,39642,39642,39642,39642,39642,39642,39642,39642,39642,39642,39642,39610,11803,51541,161128,106785,106785,106785,7322,723,159466,51552,6807,6807,183686,153212,6518,770,37900,895,895,1099,1099,1101,1101,1102,1102,1102,1102,127396,1110,1110,1014,1014,1014,1014,1014,6505,6505,6505,6505,6505,10472,10472,10472,10472,10472,10472,10472,1014,1014,6505"
63,"157177,56740,56742,102153,102151,102157,161830,14694,24263,168061,168061,1148,5293,1495,159472,51471,5175,51500,51463,5132,51067,7344,6318,79596,79596,79596,79596,79596,79596,79586,79586"
64,"1292,1292,1292,108411,108455,108455,108455,108455,97950,108842,108842,82289,112600,112606,97958,77,100094,7365,1288,25683,176395,176395,177914,43,189192,595,156129,7487,1103,991,190143,980,980,190145,982,37899,772,147140,147140,183688,6477,6256,6256"
65,"107447,107445,110427,110427,1322,10604,10606,10606,10606,108455,97949,97950,108842,108842,82289,112604,112602,79"
66,"1014,6505,6504,6504,6504,991,34152,34152,34146,34146,34146,34146,34146,34146,34146,34146,34146,34146,34146,34145,34145,34145,155335,1101,1102,1102,1102,1102,1102,1102,1105,189930,34134,10411,1135,10453,10453,10547,6509,1142,140435,1144,1129,1131,13340,1488,1575,132,132,132,131,1153,1150,7323,140714,100091,100091,100091,100091,100091,100091"
67,"102136,102136,176429,1249,102138,153973,1065,1060,1060,156011,156011,37890,37890,144,144,25681,156205,139,139,125636,125636,138,125634,125634,125630,18,6774,34177,155998,99296,79576,79566,79488,79441,24231,139822,139816,24228,24228,24224,157564,157564,157564,157564,157564,157564"
68,"120887,35255"
69,"99928,99928,99928,99928,99928,99928,99928,99928,900,900,900,900,78944,78944,112500,159290,132124,81426,3114,3114,3114,64671,64671,132112,3117,81150,81149,56821,56833,56823,56830,60777,60780"
70,"78975,967,967,967,967,79292,79292,79378,139827,139827,176682,116864,826,826,827,17745,24213,17748,17748,17748,17744,17744,139807,139807,139807"
71,"159248,110454,110450,110450,110452,110452,6402,1005,1009,6507,10465,1014,6505,6505,6505,6474,34145,980,983,987,6484,6484,6492,6492,6492,6492,6492,6492,6492,631,185471,1059,153972,1057,5825,1252,7473,7470,7470,7470"
72,"1014,6505,6505,6505,6505,1105,1105,1105,127396,34134,10430,10430,1135,10455,10455,10455,162530,162530,162530,162530,162530"
73,"91196,91195,6342,6337,6341,156083,156088,6331,6331,6775,6326,6326,6326,5175,51504,51498,51469,51469,51469,159510,159510,159510,159510,159510,159510,159510,159510,159510,159510,159510,159510,159510,159510,159510,159510,159510,51476,5143,99398,1017,8896,8899,8903,8903,8903,8903,8903,8903,8903,8906,8921,8921,8921,9939,9939,5177,5190,5047,5052,102169,6045,6045,6045,6045,6045,5122,153332,5213,5127,140438,5129,5254,1002,1002,1002,1002,1002,159248,159248,159248,159248,159248,159248,159248,110454,110454,110449,110449,1129,1131,13340,5296,1496,51479,51479,159471,5269,51471,51466,91196,91195,91195,91195,91195,91195,91195,91195,91195,91195,91195,91195,91195,91195,91195,91195,91195"
74,"147,1093,22368,148,670,149,149,137903,137913,137882,137832,137842,137817,28214,28214,28214,28214,137823,137818,137818,137818,137818,137818,137818,137843,137838,137818,137818,137892,28152,28152,151,151,151,191044,60343,125617,1361,1358,1430,1430,176395,133196,893,189194,189194,1125,155730,10414,1507,1507,10430,10453,10442,1137,140435,1144,1129,1132,156300,1488,13337,13355,13355,13355"
75,"122453,122453,22131,32,121879,121881,121881,71,71,37,25714,25718,10283,122570,93,93,93,90,90,107217,110378,110378,191969,1316"
76,"122453,122453,25256,25256,108839,54759,97951,97946,1294,108833,1324,1518,157266,1524,1524,1532,154957,1438,1438,108529,1440,109919,91210,1551"
77,"112604,112604,112602,79,79,79,108881,1290,1292,1292,108411,108456,105994,1294,107212,181233,136565,136565,1323,4156,107447"
78,"4150,4150,102,102,108821,108821,108821,100,10289,10290,10290,10295,105993,12954,4076,1474,1484,162527,162527,162527,162527,1144,1146,1146,1146"
79,"83,83,83,83,97955,112388,112388,108842,108842,108842,82290,1292,1292,1292,1292,1292,5992,108456,105994,1294,49,134152,141731,141731,4148,110379,91,107219,122572,122574,121,121,121,121"
80,"1437,1437,107456,132780,107454,107454,1313,10594,1534,1534,43,4144,77,100094,7365,1288,100126,100126,100126,183385,176395,176395,176395,176395,893,893,595,156129,7487,7487,1103,1103,34145,190145,982,108491,771,156202,156199,156199,156199,156199,731,51538,51538,131577,100333,100333,39537,23476"
81,"893,893,893,600,153300,7610,7487,1103,1103,1103,1103,992,992,992,992,34150,1096,1096,1096,1096,35261,138892,66262,32595,32595,104797,104797,104797,104794,104794,104794,104794,104794,104794,104794,141868,141868,141868,141868,141868,141868,141868"
82,"157115,157115,157115,125622,107218,141731,10598,110379,110379,107216,91,122574,121,121,122,12951,110452,1147,1147,1147,1147,1147,1147,1147,1147"
83,"1437,107456,132780,107454,1313,1313,1313,10594,1534,44,108835,108835,134152,181233,136565,136565,4156,108977,105554,105554,681,681,681"
84,"108882,108882,108882,67,67,69,72,159250,10590,10588,34175,1478,1138,10438,1011,10526"
85,"66,66,66,52,54,75,155722,155722,1466,67,67,67,69,69,69,72,100135,100136,100138,100138,100151,108883,1367,1366,38555,1465,7608,10389,1107,6502,6441,6441,6441,136586,136586,1120,32595,7359,104796,1112,84323,4934,4934,4934,4934,4934,116870,4930,4922,160753,4280,4280,4280,4280,4280,4280"
86,
87,"56742,56742,102153,102157,6992,6992,6992,14949,6520,56740,156280,156280,156280,156281,156281,156281,156281,56742,102153,152675,152675,6996,14692,159066,7120,7120,7002,7002,7051,7028,24192,24192,7080,7080,24201,24189,24196,24196,79518,79476,79506,79506,79506,79506,79510,79452,79437,79431,79431,24232,24461,953,953,955,956,972,78944,78944,112503,112496,47737,47737,47727,78796,56840,56842,56842,81378,56838,56852,56870"
88,"26620,26630,26630,26630,26835,26835,26835,26780,26694,26975,26663,26825,26825,26825,26825,27037,27037,25751,4787,4787,136568,136568,136567,136567,136567,156003,22372,7036,7036,19,99299,125631,135,136,125638,193260,116576,25674,141,141,141,2,156199,156199,156199,731,714,51538,131577,100333,39538,11908,11908,39622,131553,105623,105623,105623,105623"
89,"159485,159485,603,11714,11722,5693,99887,117103,117103,5765,12230,183397,183397,183397,183397,183397,183397,183397,7628,12664,12421,7770,146907,7741,7781,151973,748,762,767,738,731,714,51538,155683,4987,100333,100333,11907,131547,11893,11906,25657,25666"
90,"1294,49,49,107213,141731,141731,1533,110379,107216,107219,122574,121,122,6515,6515,110452,110452,110452,110452,5254,5258,5210,5210,159380,8887,6046,163876,22304,5118,5194,99446,804,22446,101607,807,809,810,810,99439,99450,99454,185166,112778,32375,32375,42227,30463,30448,97456,97456,32382,32382,184998,184998,184998"
91,"1368,6210,6210,6210,6209,6209,1366,1366,1463,7614,156069,10414,10532,1110,1014,6505,6505,6505,6505"
92,"34145,34145,34145,190145,985,987,6484,6492,6492,734,39167,39179,39196,190271,99889,185481,5875,176700,154004,154004,154004"
93,"149,149,78707,137913,137882,137893,137832,137842,137817,28214,28214,28214,28214,28214,28214,28214,28214,28214,28214,28214,28214,28214,28214,28214,28214,28214,28214,137818,137818,137818,137818,137818,137818,137824,137839,120843,27427,28097,137882,152,150,150871,156011,156011,37890,37890,144,144,25681,25681,25686,139,1191,125636,1202,138,125634,125634,51501,51495,51487,51496,102163,102163,102163,102163,102163,102163,102163,102163,102163,102163,102163,102163,102163,102163,102163,102163,102163,102163,102163,102163,102163,102163,102163,102163,102163,102163,102163,102163,102163,102163,102163,102163,102163,102163,102163,102163,102163,102163,102163,102163,102163,102164,5269,51471,51467,5199,51503,184180,184180,1385,125631,135,136,125638,193260,116576,116576,25674,141,141,141,142,147,1090,1093,1076,1078,1084,1343,7512,7512,1250,5995,5102,5097,5097,5097,5097,5097"
94,"25719,25719,25719,25719,100134,100134,100134,100134,100134,159250,1302,159370,159370,159370,159370,159370,1474,1474,1484,162526,7350,7350,7350,7350,1503,1503,33180,154094,1300,117104,117104,117104,117104,117104,117104,1007,1009,1009,1012,6507,6507,6507,10465,10556,1014,1014,1014,1014,1014,6505"
95,"102349,102349,106424,106050,153302,599,133196,892,25672,6217,5116,1466,67,67,67,67,69,73,35,89,89,89,190563,42,177915"
96,"110072,18795,1458,191971,1455,110069,110069,115,104,109,129,1498,1498,13343,13343,13335,13340,156300,156307,5306,5306,5306,5306"
97,"108520,108516,108516,139586,101783,27016,26393,143387,143387,134056,26423,26423,26423,27039,27039,27039,27039,26677,26677,26677,26651,26651,26651,26943"
98,"151973,151973,754,762,7697,130391,57500,154103,154096"
99,"10297,10297,183393,183393,183393,183393,25715,25719,100136,100138,100138,108883,1367,10356,1364,1509,600,106050,153301,139407,159254,116787,116787,116787,36628,36631,191087,191087,191087,191087,191087,191087,191087,102161"
100,"796,796,796"
101,"1292,1292,1292,906,156252,1319,108411,108456,105994,1294,108834,108836,45,45,45,102,100,10289,10290,105993,12954,1474,162526,140424,6397,1502,1502,194263,194263,159373,110394,194151,194151,194151,1206,156126,4205,105654,119438,116540,116540,116540,6430,7348,7348,7348,7348,7348,7348,7348,7348,7348,7348,7348,7348"
102,"159485,159485,159485,5709,605,153281,153281,153281,11168,11168,11168,11168,11168,11168,11168,11168,11168,11168,11168,11168,11168,11168,11168,11168,11168,11168,11168,5823,5998,7584,153900,156215,156215,10926,153234,10922,190564,190576,190576,190576,190576,190576,190576,190576,190576,190576,190576,190568,190571,190571,190582,10935,153924,651,651,651,649,649,648,185646,153927,4140,4140,660,660,660,660,663,666,674,10662,10662,677,1045,1045,100079,4158,108977,105554,680,99928,99928,99928,99928,99928,99928,99928,99928,99928,900,900,900,78944,78944,112503,112496,177927,47737,47737,81432,47728,81434,81434,81436,81421,57271,57263,81393,81393,81345,81345,81345"
103,"153268,100120,110149,185480,185482,190264,156545,39208,39208,191261,175416,190830,190830,190830,190830,39177,102161,39186,7451,191123"
104,"154957,154957,1435,1435,1435,1435,1435,1530,79777,1435,1435,1435,1435,1435,1435,1435,1435,1435,1435,1435,1435,1435,1435,1435,1435,1435,1435,1435,1435,1435,1435,1435,1435,1435,1435,1437,1437,1437,1437,1437,1437,1437,1437,1437,1437,1437,1437,1437,154957,154957,154957,1435,1435,1435,1435,1435,1435,1435,1435,1435,1437,1437,1437,1437,1437,1442,1442,1442,1442,1442,1437,1437,1437,1437,1437,1437,1437,1437,1437,1442,1442,1442,1442,1437,1437,1437,1437,1437,1442,1442,1442,1442,1442,1442,107457,107457,107457,107457,107457,1437,1437,1437,1437,1437,1437,1437,1437,1437,154957,154957,154957,1436,1436,1436,1437,1437,1437,1437,1437,1437,1437,1437,154957,154957,154957,154957,1437,1437,1437,1437,1437,1442,1442,1437,1437,1437,1437,1437,107456,107456,107456,107456,107456,107456,107456,107456,107456,107456,107456,107456,107456"
105,"112607,112607,112607,112607,112607,60,60,52,75,75,1366,1366,10534,1465,155728,10389,6502,10586,10586,6441,136586,136586,1121,7355,7112,6817,25703,139,139,125636,1202,125634,125634,125630,18,6774,6718,155998,7062,7062,181213,181213,185654,878,35209,35196,35199,30421,99404,99404,41988,30414,188485,188490,188490,188490"
106,"159251,159251,159251,159251,64,64,71,71,71,38,36,36,36,36,25256,25256,25256,25256,25256,54757,54757,4144,77,7365,1288,1280,1271,1278,6229,10695,10691,5717,5724,10730,102136,7511,7473,7471,7509,7509,7509,7507"
107,"181210,79773,99327,99380,159497,159497,99379,99374,99368,7339,7339,5157,5139,9939,1020,153406,159511,159511,51465,51501,51487,51482,5276,1494,156295,156292,1149,168060,168060,168058,156285,156287,156287,132860,100097,191974,191974,152025,110071,110071,110071,110071,110072,110072,1314,1442,1442,1442,107456,107456,132780,132780,132780,107454,107454,1313,10594,1534,108839,54759,97951,97949,108842,82290"
108,"6389,6389,6724,6006,7106,7106,154090,6429,116541,116541,116543,1167,1162,1159,8834,786,786,786,106090,106090,106090,106090,106090,106090,106090,106090,106090,106090,7311,106089,788,8844"
109,"1437,1437,107456,132780,107454,107454,107454,1313,10594,1534,45,45,102,100,10289,105993,4076,162526,7350,1502,159372,110395,193260,116576,125639,6,116545,116572,846,116539,116869,116869,84421,84423,84423"
110,"796,796,796,7272,7272,7272,7272,7272,174436,870,166,181,182,182,182,182,33683,33683,33683,33683,33683,166766,1413,1414,116478,147174,191956,191956,191956,191956,191956,191956,191956,191956,9970,9972,9972,20450,20446,20446,20441,187192,191905,187174,187159,187149,20478,20303,179352,20348,20368,20368,20368"
111,"4146,5115,5115,1271,1278,60347,159430,10695,5714,7446,7598,5713,7481,7481,7481,7481,7481,7481,7441,5725,7593,7477,5719,7598,7451,191122,191122"
112,"183952,183952,107218,141731,1534,177915,108838,108835,108835,125625,183951,183951,183951,183951,125623,157266,1524,1532,154957,1435,108516,108516,108516,108516,139586,139586,139586,101782,101780,27015,27015,110342,24257,25762,25746,25768,28113,27340,67041,159920,45468,45826,45859,45859,45859,45859,45859,45859,45859,45859,45607"
113,"10414,10436,1507,1507,10430,10453,6509,6509,1137,1141,159378,1298,1296,1296,1296,1296"
114,"1294,49,49,108834,108836,45,108821,100,100,100,10285,10285,105993,1474,1484,162526,1502,1502,159373,194151,1208,6871,7250,7250,6831,7245,134383,7271,7271,7271,7271,7271,7237,7237,7237,7237,7240,7240"
115,"4143,4143,112603,112603,60,60,52,75,75,155722,155722,155722,1466,1469,159251"
116,"110452,110452,110452,6402,1004,6397,1502,159372,110395,110395,193260,116576,116576,125639,25244,141,141,141,141,143,2,156199,156199,156199,737,737,726,726,133450,133437,133437,136477,136549,136549,136549,136538,136544,136545,33067,33067,33067,99090,2345,2345,2345,2345,2345"
117,"7431,100107,165037,1251,1249,106550,1268,10688,10690,10694,60344,1277,25684,1281,1287,1284,102512,108881,1290,1292,1319,108456,1294,107212,125625,125625,125625,157116,157266,1532,154957,154957,108520,108516,108516,108516,108516,108516,139585,191254,26778,26778,26778,26778,26778"
118,"1494,156292,1491,156285,156287,156091,140714,100091,1556,1454,1454,123467,123467,123473,123473,123473,123473,123473,123473,123473,123473,123473,123473,123473,123473,123473,123473,123473,123473,123473,123473,123473,123473,123473,123473,123473,123473,123473,123473,123473,123473,123473,123473,123473,123473,123473,123473,123473,123473,123473,123473,123473,123473,123473"
119,"32,32,121879,121881,71,71,73,38,35,35"
120,"100,10289,10285,105993,12954,1474,1004,140424,140424,6397,1502,1502,159373,110395,193260,116576,116576,125639,25673,6,116545,116572,846,5066,5066,5066,5066"
121,"1437,1437,107456,132780,107454,107454,107454,10594,1534,1534,1534,43,112602,108881,1291,1291,1512,10621,119676,119683,119683,119683,120039,120039,10658,671,131972,131972,131972,131972,131972,131972,673,10659,10659,10662,10662,10662,10662,677,1045,1045,4158,108977,684,1328,136566,125623,157266,1524,1532"
122,"133196,133196,595,156129,7487,7487,1103,992,992,992,35261,66262,32595,7359,104796,66251,66251,66251,84314,84314,84311,14712,14712,84307,14710,22623,84292,163864,35257,35254,104276,1833,106577,106576,106576,106576,106576,106576,106576"
